Date,Open,High,Low,Close,Adj Close,Volume
1980-12-12,0.513400,0.515628,0.513400,0.513400,0.478481,117258400
1980-12-15,0.486614,0.488842,0.486614,0.486614,0.453517,43971200
1980-12-16,0.450900,0.453128,0.450900,0.450900,0.420232,26432000
1980-12-17,0.462057,0.464285,0.462057,0.462057,0.430630,21610400
1980-12-18,0.475457,0.477685,0.475457,0.475457,0.443119,18362400
1980-12-19,0.504471,0.506700,0.504471,0.504471,0.470160,12157600
1980-12-22,0.529028,0.531257,0.529028,0.529028,0.493046,9340800
1980-12-23,0.551342,0.553571,0.551342,0.551342,0.513843,11737600
1980-12-24,0.580357,0.582599,0.580357,0.580357,0.540884,12000800
1980-12-26,0.633928,0.636171,0.633928,0.633928,0.590812,13893600
1980-12-29,0.642857,0.645099,0.642857,0.642857,0.599133,23290400
1980-12-30,0.627242,0.629471,0.627242,0.627242,0.584580,17220000
1980-12-31,0.609385,0.611614,0.609385,0.609385,0.567938,8937600
1981-01-02,0.616071,0.620542,0.616071,0.616071,0.574169,5415200
1981-01-05,0.602685,0.604914,0.602685,0.602685,0.561693,8932000
1981-01-06,0.575900,0.578128,0.575900,0.575900,0.536730,11289600
1981-01-07,0.551342,0.553571,0.551342,0.551342,0.513843,13921600
1981-01-08,0.540185,0.542414,0.540185,0.540185,0.503445,9956800
1981-01-09,0.569200,0.571428,0.569200,0.569200,0.530486,5376000
1981-01-12,0.564742,0.569200,0.564742,0.564742,0.526331,5924800
1981-01-13,0.544642,0.546885,0.544642,0.544642,0.507598,5762400
1981-01-14,0.546885,0.549114,0.546885,0.546885,0.509689,3572800
1981-01-15,0.558042,0.562500,0.558042,0.558042,0.520087,3516800
1981-01-16,0.553571,0.555814,0.553571,0.553571,0.515920,3348800
1981-01-19,0.587056,0.589285,0.587056,0.587056,0.547127,10393600
1981-01-20,0.569200,0.571428,0.569200,0.569200,0.530486,7520800
1981-01-21,0.580357,0.584828,0.580357,0.580357,0.540884,3976000
1981-01-22,0.587056,0.591528,0.587056,0.587056,0.547127,8887200
1981-01-23,0.584828,0.589285,0.584828,0.584828,0.545051,2805600
1981-01-26,0.575900,0.578128,0.575900,0.575900,0.536730,6160000
1981-01-27,0.571428,0.575900,0.571428,0.571428,0.532562,5924800
1981-01-28,0.553571,0.555814,0.553571,0.553571,0.515920,7039200
1981-01-29,0.533485,0.535714,0.533485,0.533485,0.497200,10976000
1981-01-30,0.504471,0.508928,0.504471,0.504471,0.470160,11547200
1981-02-02,0.475457,0.477685,0.475457,0.475457,0.443119,5941600
1981-02-03,0.493314,0.495542,0.493314,0.493314,0.459761,4788000
1981-02-04,0.511171,0.513400,0.511171,0.511171,0.476404,6966400
1981-02-05,0.511171,0.515628,0.511171,0.511171,0.476404,1982400
1981-02-06,0.513400,0.515628,0.513400,0.513400,0.478481,3466400
1981-02-09,0.486614,0.491071,0.486614,0.486614,0.453517,4188800
1981-02-10,0.486614,0.488842,0.486614,0.486614,0.453517,4586400
1981-02-11,0.470985,0.473214,0.470985,0.470985,0.438951,3460800
1981-02-12,0.466528,0.468757,0.466528,0.466528,0.434797,3640000
1981-02-13,0.455357,0.459828,0.455357,0.455357,0.424386,2788800
1981-02-17,0.466528,0.468757,0.466528,0.466528,0.434797,3068800
1981-02-18,0.486614,0.491071,0.486614,0.486614,0.453517,4810400
1981-02-19,0.457600,0.459828,0.457600,0.457600,0.426476,5577600
1981-02-20,0.433042,0.435271,0.433042,0.433042,0.403589,6092800
1981-02-23,0.439742,0.441971,0.439742,0.439742,0.409833,3528000
1981-02-24,0.424114,0.428571,0.424114,0.424114,0.395268,4244800
1981-02-25,0.450900,0.453128,0.450900,0.450900,0.420232,4872000
1981-02-26,0.457600,0.459828,0.457600,0.457600,0.426476,2710400
1981-02-27,0.473214,0.477685,0.473214,0.473214,0.441029,3690400
1981-03-02,0.475457,0.477685,0.475457,0.475457,0.443119,2940000
